source,author,title,description,url,urlToImage,publishedAt,content,text,text_cleaned,sentiment,sentiment_label,confidence
"{'id': 'the-verge', 'name': 'The Verge'}",Alex Heath,Inside the high-wire business of MrBeast,"The biggest YouTuber in the world is looking beyond videos to build a multibillion-dollar empire.  For the last several months, Jimmy Donaldson, aka MrBeast, has been talking with investors about raising $200 million in a funding round that would value his ho…",https://www.theverge.com/command-line-newsletter/626330/mrbeast-business-youtube-feastables-fundraising,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/MrBest-CL-site-wide.png?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-03-07T22:56:04Z,"Leaked plans reveal the ambitions and risk appetite of the biggest YouTuber on earth.
Leaked plans reveal the ambitions and risk appetite of the biggest YouTuber on earth.
The biggest YouTuber in t… [+6207 chars]","Inside the high-wire business of MrBeast The biggest YouTuber in the world is looking beyond videos to build a multibillion-dollar empire.  For the last several months, Jimmy Donaldson, aka MrBeast, has been talking with investors about raising $200 million in a funding round that would value his ho…",inside highwire business mrbeast biggest youtuber world looking beyond video build multibilliondollar empire last several month jimmy donaldson aka mrbeast talking investor raising million funding round would value ho,0,Bad News,0.5894524106173458
"{'id': 'wired', 'name': 'Wired'}",Makena Kelly,"FTC Removes Posts Critical of Amazon, Microsoft, and AI Companies",Business-guidance content published during the Biden administration has been removed from the Federal Trade Commission website.,https://www.wired.com/story/federal-trade-commission-removed-blogs-critical-of-ai-amazon-microsoft/,"https://media.wired.com/photos/67d9988cc08419ff06e2ca34/191:100/w_1280,c_limit/ftc-pol-2201176928.jpg",2025-03-18T18:02:32Z,"The Trump administrations Federal Trade Commission has removed four years worth of business guidance blogs as of Tuesday morning, including important consumer protection information related to artifi… [+4436 chars]","FTC Removes Posts Critical of Amazon, Microsoft, and AI Companies Business-guidance content published during the Biden administration has been removed from the Federal Trade Commission website.",ftc remove post critical amazon microsoft ai company businessguidance content published biden administration removed federal trade commission website,0,Bad News,0.6920761058662641
"{'id': 'wired', 'name': 'Wired'}",Scott Gilbertson,1Password Coupon: Get Up to 50% Off in March,Save up to 50% with a 1Password Coupon in March 2025. Enjoy a 14 free trial or get 20% off your business plan today.,https://www.wired.com/story/1password-coupon/,"https://media.wired.com/photos/67b63b98fb14553f0ebd9ffd/191:100/w_1280,c_limit/WIRED-Coupons-R2_15.png",2025-03-13T05:00:00Z,1Password has long been one of our favorite password managers. It's our upgrade pick for all the extra features it offers compared to other password managers. 1Password has apps that work just about … [+2187 chars],1Password Coupon: Get Up to 50% Off in March Save up to 50% with a 1Password Coupon in March 2025. Enjoy a 14 free trial or get 20% off your business plan today.,password coupon get march save password coupon march enjoy free trial get business plan today,1,Good News,0.5591729282558172
"{'id': 'wired', 'name': 'Wired'}",Nicole Gull McElroy,Can Tech Save Small Ski Resorts From Extinction?,The small Colorado company Entabeni Systems is quietly working to upend the ski industry with a business model built on handshake deals made in ski resort parking lots.,https://www.wired.com/story/can-tech-save-small-ski-resorts-entabeni-systems/,"https://media.wired.com/photos/67b602ed6a64639303b5db99/191:100/w_1280,c_limit/skiing-gear-108162454.jpg",2025-02-23T11:00:00Z,"The third piece of that strategy came in the fall of last year: Mogensen bought Black Mountain, the oldest ski area in New Hampshire. He shipped a handful of his team members from their base in Granb… [+3392 chars]",Can Tech Save Small Ski Resorts From Extinction? The small Colorado company Entabeni Systems is quietly working to upend the ski industry with a business model built on handshake deals made in ski resort parking lots.,tech save small ski resort extinction small colorado company entabeni system quietly working upend ski industry business model built handshake deal made ski resort parking lot,1,Good News,0.5110422548990776
"{'id': None, 'name': 'BBC News'}",,Deal to buy Prince Andrew's business unravels,A financial lifeline for Prince Andrew from the sale of Pitch@Palace seems unlikely to go ahead.,https://www.bbc.com/news/articles/c62k6zkd3g5o,https://ichef.bbci.co.uk/news/1024/branded_news/3c76/live/b2178010-f46a-11ef-aeb3-bb556fdec0fe.jpg,2025-03-01T08:34:32Z,"Sean Coughlan
Ben King
Prince Andrew has been under pressure to find funding for his home in Windsor
A deal to take over the Duke of York's former start-up business network now seems to be in doub… [+3926 chars]",Deal to buy Prince Andrew's business unravels A financial lifeline for Prince Andrew from the sale of Pitch@Palace seems unlikely to go ahead.,deal buy prince andrew business unravels financial lifeline prince andrew sale pitchpalace seems unlikely go ahead,0,Bad News,0.613178428803387
"{'id': 'wired', 'name': 'Wired'}","Leah Feiger, Louise Matsakis, Jake Lahut",People Are Paying Millions to Dine With Donald Trump at Mar-a-Lago,"Business leaders are paying as much as $5,000,000 to meet one-on-one with the president at his Florida compound, sources tell WIRED, while others are paying $1,000,000 apiece to dine with him in a group setting.",https://www.wired.com/story/people-paying-millions-donald-trump-mar-a-lago/,"https://media.wired.com/photos/67c7052b740da90b2e8bbbde/191:100/w_1280,c_limit/GettyImages-2062120626%20(1).jpg",2025-03-04T16:00:23Z,"Guests are paying millions of dollars to dine and meet with President Donald Trump at special events held at his Mar-a-Lago estate in Palm Beach, Florida.
Business leaders can secure a one-on-one me… [+2931 chars]","People Are Paying Millions to Dine With Donald Trump at Mar-a-Lago Business leaders are paying as much as $5,000,000 to meet one-on-one with the president at his Florida compound, sources tell WIRED, while others are paying $1,000,000 apiece to dine with him in a group setting.",people paying million dine donald trump maralago business leader paying much meet oneonone president florida compound source tell wired others paying apiece dine group setting,0,Bad News,0.5603510767894213
"{'id': None, 'name': 'BBC News'}",Neil Johnston,'Unfinished business' - Mings redemption has Villa dreaming,"From the ""biggest mistake"" to an ""incredible"" performance against Club Brugge - Tyrone Mings helps Aston Villa take a huge step towards the Champions League quarter-finals.",https://www.bbc.com/sport/football/articles/c981wnder7jo,https://ichef.bbci.co.uk/ace/branded_sport/1200/cpsprodpb/261a/live/4fc90f40-f93e-11ef-95fb-d138264a2044.png,2025-03-04T22:10:32Z,"On Tuesday, Mings provided a headed assist for Leon Bailey to open the scoring in the third minute.
At 1-1, Brugge skipper Vanaken produced a header which was on target and heading for the back of t… [+940 chars]","'Unfinished business' - Mings redemption has Villa dreaming From the ""biggest mistake"" to an ""incredible"" performance against Club Brugge - Tyrone Mings helps Aston Villa take a huge step towards the Champions League quarter-finals.",unfinished business ming redemption villa dreaming biggest mistake incredible performance club brugge tyrone ming help aston villa take huge step towards champion league quarterfinal,0,Bad News,0.5059245693813557
"{'id': None, 'name': 'BBC News'}",,Exposing an Indian pharma firm fuelling West Africa's opioid crisis,An Indian drug maker tells a BBC undercover team its addictive cocktail drug is “very harmful” but “this is business”.,https://www.bbc.com/news/articles/cwyew21yyjzo,https://ichef.bbci.co.uk/news/1024/branded_news/7e58/live/6d94fa70-eec6-11ef-a819-277e390a7a08.png,2025-02-21T00:53:54Z,"BBC Eye Investigations
An Indian pharmaceutical company is manufacturing unlicensed, highly addictive opioids and exporting them illegally to West Africa where they are driving a major public health… [+9705 chars]",Exposing an Indian pharma firm fuelling West Africa's opioid crisis An Indian drug maker tells a BBC undercover team its addictive cocktail drug is “very harmful” but “this is business”.,exposing indian pharma firm fuelling west africa opioid crisis indian drug maker tell bbc undercover team addictive cocktail drug harmful business,0,Bad News,0.7115882823093561
"{'id': 'the-verge', 'name': 'The Verge'}",David Pierce,The high stakes for AI Alexa,"Amazon has been trying to make virtual assistants happen for more than a decade. Alexa is, by many definitions, wildly successful, but it has so far failed to become the kind of omnipresent, omnipotent helper the company imagines. (It has also, by all account…",https://www.theverge.com/the-vergecast/621514/alexa-plus-amazon-ai-vergecast,https://platform.theverge.com/wp-content/uploads/sites/2/2025/02/VST_0228_Site.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200,2025-02-28T14:30:37Z,"On The Vergecast: Alexa Plus, the Sigma BF, and YouTube podcasts.
On The Vergecast: Alexa Plus, the Sigma BF, and YouTube podcasts.
Amazon has been trying to make virtual assistants happen for more… [+1646 chars]","The high stakes for AI Alexa Amazon has been trying to make virtual assistants happen for more than a decade. Alexa is, by many definitions, wildly successful, but it has so far failed to become the kind of omnipresent, omnipotent helper the company imagines. (It has also, by all account…",high stake ai alexa amazon trying make virtual assistant happen decade alexa many definition wildly successful far failed become kind omnipresent omnipotent helper company imago also account,0,Bad News,0.6808056564468843
"{'id': 'the-verge', 'name': 'The Verge'}",Andrew J. Hawkins,The Volkswagen ID. EVERY1 is an affordable EV for the masses,"Volkswagen is bringing up the lights on the ID. EVERY1 show car that it says will become the promised €20,000 (about $20,800 USD) affordable EV that will hopefully turn around the automaker’s struggling business.  As market leaders like Tesla continue to prom…",https://www.theverge.com/news/624676/vw-id-every1-ev-price-range-specs-2027,https://platform.theverge.com/wp-content/uploads/sites/2/2025/03/ID1_34front.jpg?quality=90&strip=all&crop=0%2C10.752696650476%2C100%2C78.494606699048&w=1200,2025-03-05T17:07:10Z,"The sporty hatchback will sell for 20,000 when it launches in Europe in 2027. But when will we see it in the US?
The sporty hatchback will sell for 20,000 when it launches in Europe in 2027. But whe… [+4137 chars]","The Volkswagen ID. EVERY1 is an affordable EV for the masses Volkswagen is bringing up the lights on the ID. EVERY1 show car that it says will become the promised €20,000 (about $20,800 USD) affordable EV that will hopefully turn around the automaker’s struggling business.  As market leaders like Tesla continue to prom…",volkswagen id every affordable ev mass volkswagen bringing light id every show car say become promised usd affordable ev hopefully turn around automaker struggling business market leader like tesla continue prom,0,Bad News,0.6555066377236631
